Date;Price(EUR/Ons)
28.03.2014;659.7633
31.03.2014;656.7000
1.04.2014;654.4533
2.04.2014;655.7100
3.04.2014;665.3000
4.04.2014;668.5833
7.04.2014;668.6200
8.04.2014;669.0167
9.04.2014;668.4367
10.04.2014;671.5833
11.04.2014;670.9333
14.04.2014;676.1567
15.04.2014;667.4433
16.04.2014;664.4500
17.04.2014;663.3067
18.04.2014;664.4833
21.04.2014;664.3367
22.04.2014;655.1733
24.04.2014;651.0567
25.04.2014;656.9700
28.04.2014;660.7567
29.04.2014;656.0100
30.04.2014;660.5233
2.05.2014;655.7967
5.05.2014;655.1800
6.05.2014;661.3800
7.05.2014;663.1800
8.05.2014;657.4067
9.05.2014;661.2400
12.05.2014;666.0167
13.05.2014;669.0800
14.05.2014;676.5367
15.05.2014;681.2200
16.05.2014;674.3333
20.05.2014;677.7933
21.05.2014;678.7233
22.05.2014;681.3267
23.05.2014;683.5133
26.05.2014;682.9600
27.05.2014;678.2233
28.05.2014;670.9033
29.05.2014;666.8267
30.05.2014;669.5067
2.06.2014;662.2367
3.06.2014;660.6233
4.06.2014;657.2733
5.06.2014;661.3000
6.06.2014;665.4900
9.06.2014;665.5067
10.06.2014;674.3333
11.06.2014;679.3933
12.06.2014;674.4533
13.06.2014;671.3767
16.06.2014;673.8967
17.06.2014;668.1700
18.06.2014;672.7600
19.06.2014;673.2733
20.06.2014;681.5967
23.06.2014;682.9667
24.06.2014;687.2533
25.06.2014;684.4333
26.06.2014;684.3067
27.06.2014;688.0200
30.06.2014;687.7900
1.07.2014;689.8367
2.07.2014;696.8567
3.07.2014;695.6467
4.07.2014;696.6400
7.07.2014;695.6267
8.07.2014;695.7167
9.07.2014;696.7800
10.07.2014;699.3800
11.07.2014;702.0600
14.07.2014;695.9867
15.07.2014;692.6467
16.07.2014;690.3633
17.07.2014;693.9500
18.07.2014;694.9333
21.07.2014;696.0833
22.07.2014;695.6633
23.07.2014;696.8933
24.07.2014;691.6400
25.07.2014;690.2300
31.07.2014;694.5133
1.08.2014;688.1967
4.08.2014;690.0433
5.08.2014;689.3433
6.08.2014;689.4800
7.08.2014;695.4067
8.08.2014;699.3533
11.08.2014;696.7700
12.08.2014;699.3233
13.08.2014;699.4333
14.08.2014;698.0000
15.08.2014;694.0200
18.08.2014;690.0900
19.08.2014;689.8800
20.08.2014;688.4667
21.08.2014;685.6233
22.08.2014;682.2633
25.08.2014;686.4967
26.08.2014;687.9467
27.08.2014;689.1533
28.08.2014;690.0133
29.08.2014;690.9800
1.09.2014;692.7000
2.09.2014;690.1233
3.09.2014;683.0600
4.09.2014;684.8700
5.09.2014;692.9633
8.09.2014;694.0100
9.09.2014;691.1133
10.09.2014;684.6767
11.09.2014;682.2467
12.09.2014;675.6133
15.09.2014;676.4600
16.09.2014;675.2167
17.09.2014;673.6967
18.09.2014;671.5833
19.09.2014;669.3733
22.09.2014;665.3233
23.09.2014;667.0200
24.09.2014;667.5667
25.09.2014;664.9867
26.09.2014;665.5500
29.09.2014;666.7300
30.09.2014;669.4533
1.10.2014;661.5533
2.10.2014;662.0167
8.10.2014;660.8700
9.10.2014;659.0633
10.10.2014;657.8167
13.10.2014;658.9900
14.10.2014;663.4500
15.10.2014;658.6400
16.10.2014;653.2933
17.10.2014;654.3633
20.10.2014;658.7567
21.10.2014;662.6733
22.10.2014;665.7100
23.10.2014;663.5833
24.10.2014;659.6167
27.10.2014;657.9167
30.10.2014;656.7100
31.10.2014;645.8900
3.11.2014;646.1933
4.11.2014;645.3267
5.11.2014;633.0200
6.11.2014;628.4867
7.11.2014;633.5267
10.11.2014;640.5967
11.11.2014;635.5567
12.11.2014;635.9933
13.11.2014;636.4467
14.11.2014;631.5700
17.11.2014;642.5367
18.11.2014;643.2767
19.11.2014;643.0133
20.11.2014;641.8133
21.11.2014;650.6600
24.11.2014;655.0067
25.11.2014;651.9033
26.11.2014;651.2067
27.11.2014;649.9033
28.11.2014;646.1433
1.12.2014;640.0567
2.12.2014;648.9100
3.12.2014;658.9200
4.12.2014;665.3900
5.12.2014;662.8833
8.12.2014;663.9433
9.12.2014;661.6867
10.12.2014;670.4867
11.12.2014;662.8700
12.12.2014;662.4667
15.12.2014;655.3067
16.12.2014;649.6167
17.12.2014;646.8733
18.12.2014;650.1867
19.12.2014;655.0200
22.12.2014;654.8200
23.12.2014;651.3367
24.12.2014;650.9133
25.12.2014;648.7300
26.12.2014;651.5000
29.12.2014;660.2400
